location.place,location.region,location.country,location.lat,location.lon,current.last_updated_epoch,current.temp_c,current.is_day,current.wind_mph,current.wind_degree,current.pressure_mb,current.precip_mm,current.humidity,current.cloud,current.feelslike_c
Chennai,Tamil Nadu,India,13.08,80.28,1630057500,34,1,6.9,310,1002,0,60,50,41
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630057500,31.8,1,11,279,1005,0,52,41,34.9
Mumbai,Maharashtra,India,18.98,72.83,1630054800,30,1,8.1,250,1004,0.1,75,75,34.5
Chennai,Tamil Nadu,India,13.08,80.28,1630054800,34,1,6.9,310,1002,0,60,50,41
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630054800,31.8,1,11,279,1005,0,52,41,34.9
Mumbai,Maharashtra,India,18.98,72.83,1630061100,30,1,11.9,260,1003,0,75,50,34.4
Chennai,Tamil Nadu,India,13.08,80.28,1630061100,30,1,11.9,40,1002,0,70,75,32.5
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630061100,32.6,1,9.8,275,1004,0,48,53,35.6
Mumbai,Maharashtra,India,18.98,72.83,1630058400,30,1,11.9,260,1003,0,75,50,34.4
Chennai,Tamil Nadu,India,13.08,80.28,1630058400,30,1,11.9,40,1002,0,70,75,32.5
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630058400,32.6,1,9.8,275,1004,0,48,53,35.6
Mumbai,Maharashtra,India,18.98,72.83,1630065600,30,1,10.5,250,1003,0,70,75,34.4
Chennai,Tamil Nadu,India,13.08,80.28,1630065600,27,0,9.4,190,1003,0,89,75,28.8
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630065600,33.3,0,10.7,272,1002,0,45,45,36.1
Mumbai,Maharashtra,India,18.98,72.83,1630069200,29,0,8.1,260,1004,0,79,75,32.3
Chennai,Tamil Nadu,India,13.08,80.28,1630069200,27,0,0,138,1003,0,89,75,29.3
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630069200,32.9,0,9.4,284,1002,0.1,45,70,35.5
Mumbai,Maharashtra,India,18.98,72.83,1630075500,29,0,8.1,270,1004,0,79,75,32.6
Chennai,Tamil Nadu,India,13.08,80.28,1630075500,27,0,6.9,190,1004,0.3,89,75,29.5
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1630075500,32.2,0,7.8,309,1002,0.5,47,51,34.7
Mumbai,Maharashtra,India,18.98,72.83,1630072800,29,0,8.1,270,1004,0,79,75,32.6
Chennai,Tamil Nadu,India,13.08,80.28,1630072800,27,0,6.9,190,1004,0.3,89,75,29.5
